 -2.5 -0.5   2806    0   0.805   1.689   2.378   4.921   1.339   0.514   9.400  -6.212
 -2.5 -0.5   2747    0   0.838   1.738   2.512   5.121   1.357   0.544   9.800  -6.591
 -2.5 -0.5   2689    0   0.892   1.795   2.646   5.316   1.380   0.576  10.200  -6.969
 -2.5  0.0  44000    0  -1.200  -0.370  -0.160  -0.470  -0.251  -0.041  -1.060  -4.416
 -2.5  0.0  38450    0  -1.175  -0.344  -0.145  -0.435  -0.237  -0.038  -1.000  -3.986
 -2.5  0.0  34174    0  -1.141  -0.303  -0.122  -0.384  -0.213  -0.034  -0.900  -3.631
 -2.5  0.0  30767    0  -1.110  -0.262  -0.106  -0.329  -0.190  -0.030  -0.800  -3.268
 -2.5  0.0  26892    0  -1.068  -0.224  -0.083  -0.275  -0.166  -0.026  -0.700  -2.751
 -2.5  0.0  23638    0  -1.004  -0.200  -0.075  -0.244  -0.143  -0.022  -0.600  -2.263
 -2.5  0.0  21295    0  -0.947  -0.182  -0.066  -0.219  -0.119  -0.019  -0.500  -1.922
 -2.5  0.0  18891    0  -0.896  -0.167  -0.054  -0.196  -0.096  -0.015  -0.400  -1.638
 -2.5  0.0  16609    0  -0.796  -0.134  -0.048  -0.152  -0.073  -0.012  -0.300  -1.356
 -2.5  0.0  14758    0  -0.708  -0.109  -0.039  -0.117  -0.050  -0.008  -0.200  -1.053
 -2.5  0.0  13143    0  -0.607  -0.082  -0.029  -0.074  -0.026  -0.005  -0.100  -0.755
 -2.5  0.0  11637    0  -0.491  -0.052  -0.018  -0.024  -0.003  -0.001   0.000  -0.519
 -2.5  0.0  10247    0  -0.376  -0.025  -0.008   0.020   0.021   0.002   0.100  -0.321
 -2.5  0.0   9080    0  -0.204   0.004   0.007   0.068   0.045   0.006   0.200  -0.136
 -2.5  0.0   8343    0  -0.092   0.033   0.026   0.117   0.069   0.009   0.300  -0.026
 -2.5  0.0   7920    0  -0.086   0.073   0.050   0.174   0.093   0.013   0.400   0.009
 -2.5  0.0   7617    0  -0.108   0.112   0.074   0.229   0.118   0.016   0.500   0.017
 -2.5  0.0   7367    0  -0.141   0.149   0.100   0.282   0.143   0.020   0.600   0.014
 -2.5  0.0   7137    0  -0.219   0.180   0.125   0.334   0.168   0.024   0.700   0.005
 -2.5  0.0   6917    0  -0.270   0.210   0.150   0.384   0.194   0.028   0.800  -0.009
 -2.5  0.0   6706    0  -0.328   0.239   0.174   0.435   0.222   0.033   0.900  -0.027
 -2.5  0.0   6520    0  -0.387   0.268   0.197   0.486   0.250   0.038   1.000  -0.046
 -2.5  0.0   6355    0  -0.440   0.298   0.218   0.537   0.280   0.043   1.100  -0.066
 -2.5  0.0   6197    0  -0.480   0.330   0.239   0.585   0.312   0.049   1.200  -0.087
 -2.5  0.0   6043    0  -0.503   0.365   0.259   0.630   0.344   0.054   1.300  -0.108
 -2.5  0.0   5895    0  -0.504   0.404   0.279   0.672   0.376   0.060   1.400  -0.130
 -2.5  0.0   5755    0  -0.483   0.445   0.301   0.712   0.408   0.065   1.500  -0.152
 -2.5  0.0   5625    0  -0.441   0.489   0.322   0.750   0.440   0.069   1.600  -0.175
 -2.5  0.0   5502    0  -0.384   0.537   0.344   0.788   0.472   0.074   1.700  -0.200
 -2.5  0.0   5388    0  -0.311   0.585   0.366   0.824   0.504   0.079   1.800  -0.225
 -2.5  0.0   5281    0  -0.229   0.634   0.388   0.860   0.536   0.084   1.900  -0.251
 -2.5  0.0   5182    0  -0.135   0.685   0.410   0.896   0.567   0.088   2.000  -0.277
 -2.5  0.0   5087    0  -0.037   0.736   0.433   0.931   0.599   0.093   2.100  -0.303
 -2.5  0.0   4996    0   0.063   0.788   0.455   0.966   0.630   0.097   2.200  -0.330
 -2.5  0.0   4907    0   0.161   0.841   0.478   1.000   0.660   0.102   2.300  -0.357
 -2.5  0.0   4812    0   0.260   0.896   0.501   1.034   0.691   0.106   2.400  -0.389
 -2.5  0.0   4714    0   0.362   0.954   0.525   1.068   0.721   0.110   2.500  -0.427
 -2.5  0.0   4622    0   0.472   1.013   0.549   1.105   0.750   0.115   2.600  -0.469
 -2.5  0.0   4537    0   0.592   1.075   0.573   1.144   0.779   0.119   2.700  -0.514
 -2.5  0.0   4455    0   0.723   1.138   0.597   1.185   0.806   0.124   2.800  -0.563
 -2.5  0.0   4374    0   0.864   1.203   0.620   1.229   0.833   0.129   2.900  -0.616
 -2.5  0.0   4296    0   1.010   1.267   0.644   1.276   0.859   0.134   3.000  -0.671
